time (s),seqOutADC (V)
29.73E-9,1.024
47.73E-9,1.202
65.73E-9,1.369
83.73E-9,1.519
101.7E-9,1.656
119.7E-9,1.765
137.7E-9,1.844
155.7E-9,1.891
173.7E-9,1.904
191.7E-9,1.879
209.7E-9,1.826
227.7E-9,1.736
245.7E-9,1.623
263.7E-9,1.482
281.7E-9,1.322
299.7E-9,1.153
317.7E-9,975.6E-3
335.7E-9,797.7E-3
353.7E-9,631.5E-3
371.7E-9,480.9E-3
389.7E-9,344.1E-3
407.7E-9,234.6E-3
425.7E-9,156.4E-3
443.7E-9,109.5E-3
461.7E-9,95.80E-3
479.7E-9,121.2E-3
497.7E-9,174.0E-3
515.7E-9,263.9E-3
533.7E-9,377.3E-3
551.7E-9,518.1E-3
569.7E-9,678.4E-3
587.7E-9,846.5E-3
605.7E-9,1.024
623.7E-9,1.202
641.7E-9,1.369
659.7E-9,1.519
677.7E-9,1.656
695.7E-9,1.765
713.7E-9,1.844
731.7E-9,1.891
749.7E-9,1.904
767.7E-9,1.879
785.7E-9,1.826
803.7E-9,1.736
821.7E-9,1.623
839.7E-9,1.482
857.7E-9,1.322
875.7E-9,1.153
893.7E-9,975.6E-3
